İlan no,Son Güncelleme Tarihi,Konut Tipi,Oda + Salon Sayısı,Brüt / Net M2,Bulunduğu Kat,Bina Yaşı,Isınma Tipi,Kat Sayısı,Krediye Uygunluk,Eşya Durumu,Banyo Sayısı,Yapı Tipi,Yapının Durumu,Kullanım Durumu,Tapu Durumu,Aidat,Takas,Cephe,Kira Getirisi,Yakıt Tipi,Ada No,Parsel No,Yetkili Ofis,city,district,price
151487-3,30-10-2024,Daire,3 + 1,115 m2 / 100 m2,En Üst Kat,25 Yaşında,Kombi,4 Katlı,Uygun,Eşyalı Değil,,Betonarme,İkinci El,Boş,Kat Mülkiyeti,50 TL,Hayır,Kuzey,10.000 TL,Doğalgaz,157,22,Evet,Ankara,Polatlı,1.190.000 TL
2232-3156,30-10-2024,Daire,3 + 1,110 m2 / 105 m2,3. Kat,30 Yaşında,Kombi,4 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Kiracılı,Kat Mülkiyeti,100 TL,,"Güney, Batı",15.000 TL,Doğalgaz,5744,5,Evet,Ankara,Keçiören,2.249.000 TL
4581-7359,30-10-2024,Daire,3 + 1,160 m2 / 141 m2,1. Kat,40 Yaşında,Merkezi,3 Katlı,Bilinmiyor,Eşyalı Değil,1,,İkinci El,Kiracılı,,,Hayır,"Kuzey, Doğu",,Doğalgaz,,,,Ankara,Çankaya,6.200.000 TL
13712-2218,30-10-2024,Daire,2 + 1,75 m2 / 70 m2,Yüksek Giriş,60 Yaşında,Soba,5 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Kiracılı,Kat Mülkiyeti,50 TL,Hayır,"Doğu, Batı",3.000 TL,Kömür-Odun,,,Evet,Ankara,Çankaya,3.300.000 TL
120088-758,30-10-2024,Daire,1 + 1,55 m2 / 50 m2,2. Kat,Sıfır Bina,Kombi,4 Katlı,Uygun,Eşyalı Değil,2,,,Boş,Kat İrtifakı,,Hayır,"Güney, Doğu",,,,,,Ankara,Çankaya,5.600.000 TL
13758-11149,30-10-2024,Daire,3 + 1,120 m2 / 115 m2,3. Kat,25 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Boş,Kat Mülkiyeti,,Hayır,Güney,20.000 TL,Doğalgaz,,,Evet,Ankara,Keçiören,2.840.000 TL
64462-1371,30-10-2024,Daire,3 + 1,135 m2 / 125 m2,1. Kat,30 Yaşında,Kombi,5 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,,Kat Mülkiyeti,,Hayır,,,Doğalgaz,,,Evet,Ankara,Yenimahalle,2.300.000 TL
4070-1507,30-10-2024,Daire,2 + 1,95 m2 / 85 m2,3. Kat,36 Yaşında,Merkezi,5 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Boş,Kat Mülkiyeti,900 TL,Hayır,"Güney, Doğu",25.000 TL,Doğalgaz,,,Evet,Ankara,Çankaya,3.850.000 TL
1181-14292,30-10-2024,Daire,3 + 1,125 m2 / 115 m2,Kot 1,3 Yaşında,Kombi,4 Katlı,Uygun değil,Eşyalı Değil,1,Betonarme,Sıfır,Boş,Kat Mülkiyeti,200 TL,Hayır,"Kuzey, Güney, Batı",18.000 TL,Doğalgaz,,,,Ankara,Çankaya,3.050.000 TL
28355-454,30-10-2024,Residence,1 + 1,95 m2 / 80 m2,5. Kat,4 Yaşında,Yerden Isıtma,28 Katlı,Uygun değil,Eşyalı Değil,1,,,Boş,Kat Mülkiyeti,,Hayır,"Kuzey, Batı",,,,,,Ankara,Çankaya,14.250.000 TL
150882-10,30-10-2024,Daire,2 + 1,90 m2 / 85 m2,12. Kat,Sıfır Bina,Merkezi (Pay Ölçer),16 Katlı,Uygun,Eşyalı Değil,2,Betonarme,Sıfır,Boş,Kat Mülkiyeti,,Hayır,Güney,,Doğalgaz,,,Evet,Ankara,Etimesgut,3.650.000 TL
105344-364,30-10-2024,Daire,3 + 1,175 m2 / 165 m2,En Üst Kat,17 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Boş,Kat Mülkiyeti,,Hayır,"Kuzey, Güney, Doğu, Batı",20.000 TL,Doğalgaz,0,,Evet,Ankara,Pursaklar,2.300.000 TL
16761-32282,30-10-2024,Daire,2 + 1,120 m2 / 100 m2,2. Kat,30 Yaşında,Kombi,2 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Mülk Sahibi,,100 TL,Hayır,"Güney, Doğu",19.000 TL,Doğalgaz,,,Evet,Ankara,Çankaya,2.990.000 TL
