İlan no,Son Güncelleme Tarihi,Konut Tipi,Oda + Salon Sayısı,Brüt / Net M2,Bulunduğu Kat,Bina Yaşı,Isınma Tipi,Kat Sayısı,Krediye Uygunluk,Eşya Durumu,Banyo Sayısı,Yapı Tipi,Yapının Durumu,Kullanım Durumu,Tapu Durumu,Aidat,Takas,Cephe,Kira Getirisi,Yakıt Tipi,Ada No,Parsel No,Yetkili Ofis,city,district,price
151582-4,26-10-2024,Daire,1 + 1,100 m2 / 85 m2,Ara Kat,Sıfır Bina,Merkezi,4 Katlı,Uygun,Eşyalı Değil,1,Betonarme,Sıfır,Boş,Kat Mülkiyeti,,,Güney,40.000 TL,Doğalgaz,,,Evet,Ankara,Çankaya,5.750.000 TL
144059-100,26-10-2024,Daire,3 + 1,110 m2 / 100 m2,Giriş Katı,20 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Boş,Kat Mülkiyeti,150 TL,Evet,"Güney, Doğu",20.000 TL,Doğalgaz,,,Evet,Ankara,Keçiören,2.290.000 TL
144059-98,26-10-2024,Daire,3 + 1,130 m2 / 110 m2,3. Kat,25 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,,İkinci El,,Kat Mülkiyeti,150 TL,Evet,"Güney, Doğu",25.000 TL,Doğalgaz,,,,Ankara,Keçiören,2.785.000 TL
144059-97,26-10-2024,Daire,3 + 1,140 m2 / 135 m2,3. Kat,20 Yaşında,Kombi,2 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Boş,Kat Mülkiyeti,150 TL,Evet,"Güney, Batı",25.000 TL,Doğalgaz,,,Evet,Ankara,Keçiören,3.685.000 TL
22454-3177,26-10-2024,Daire,3 + 1,109 m2 / 100 m2,Ara Kat,19 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Boş,Kat Mülkiyeti,100 TL,Hayır,"Kuzey, Güney",20.000 TL,Doğalgaz,,,Evet,Ankara,Keçiören,2.570.000 TL
25298-4304,18-10-2024,Daire,3 + 1,125 m2 / 120 m2,3. Kat,11 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,,,Kiracılı,Kat Mülkiyeti,,Hayır,Güney,,,,,,Ankara,Pursaklar,2.250.000 TL
25298-3954,18-10-2024,Daire,3 + 1,125 m2 / 120 m2,3. Kat,11 Yaşında,Kombi,4 Katlı,Uygun,Eşyalı Değil,1,,,Boş,Kat Mülkiyeti,,Hayır,,,,,,,Ankara,Pursaklar,2.400.000 TL
73018-8510,26-10-2024,Daire,2 + 1,115 m2 / 110 m2,Yüksek Giriş,10 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Mülk Sahibi,Kat Mülkiyeti,,Hayır,"Güney, Doğu",,Doğalgaz,,,Evet,Ankara,Pursaklar,1.950.000 TL
73018-8150,09-10-2024,Daire,3 + 1,120 m2 / 118 m2,1. Kat,16 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Mülk Sahibi,Kat Mülkiyeti,,Hayır,"Güney, Batı",,Doğalgaz,,,Evet,Ankara,Pursaklar,2.375.000 TL
151610-11,27-10-2024,Daire,2 + 1,90 m2 / 85 m2,Giriş Katı,35 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Boş,Kat Mülkiyeti,100 TL,Hayır,Doğu,13.000 TL,Doğalgaz,,,Evet,Ankara,Etimesgut,1.750.000 TL
151610-10,26-10-2024,Daire,2 + 1,90 m2 / 85 m2,Giriş Katı,35 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Boş,Kat Mülkiyeti,100 TL,,Doğu,14.000 TL,Doğalgaz,,,Evet,Ankara,Etimesgut,1.500.000 TL
121272-486,24-10-2024,Daire,3 + 1,120 m2 / 110 m2,Yüksek Giriş,4 Yaşında,Kombi,4 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Boş,Kat Mülkiyeti,,,"Doğu, Batı",,Doğalgaz,,,Evet,Ankara,Altındağ,3.250.000 TL
121272-526,07-10-2024,Daire,2 + 1,110 m2 / 100 m2,En Üst Kat,35 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Belirtilmemiş,Kat Mülkiyeti,,Hayır,Doğu,15.000 TL,Doğalgaz,,,Evet,Ankara,Altındağ,2.300.000 TL
40304-1003,26-10-2024,Daire,5 + 1,295 m2 / 265 m2,Teras Katı,25 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,2,Betonarme,İkinci El,,Kat Mülkiyeti,,Hayır,"Güney, Doğu, Batı",,Doğalgaz,,,Evet,Ankara,Keçiören,3.050.000 TL
40304-1004,26-10-2024,Daire,3 + 1,130 m2 / 125 m2,1. Kat,25 Yaşında,Kombi,3 Katlı,Uygun değil,Eşyalı Değil,1,Betonarme,İkinci El,Boş,Kat Mülkiyeti,150 TL,,"Güney, Doğu",,Doğalgaz,,,Evet,Ankara,Çankaya,5.850.000 TL
135726-824,27-10-2024,Daire,3 + 1,120 m2 / 110 m2,2. Kat,25 Yaşında,Kombi,2 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Kiracılı,Tapu Yok,100 TL,Hayır,"Güney, Batı",20.000 TL,Doğalgaz,,,Evet,Ankara,Keçiören,2.849.000 TL
118717-505,27-10-2024,Daire,2 + 1,115 m2 / 110 m2,Ara Kat,8 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Kiracılı,Kat Mülkiyeti,,Hayır,Güney,,Doğalgaz,,,,Ankara,Keçiören,2.389.000 TL
129251-428,27-10-2024,Daire,4 + 1,170 m2 / 160 m2,3. Kat,Sıfır Bina,Merkezi (Pay Ölçer),14 Katlı,Uygun,Eşyalı Değil,2,Betonarme,Yapım Aşamasında,Boş,Kat İrtifakı,,Hayır,"Kuzey, Güney, Doğu, Batı",40.000 TL,Doğalgaz,,,,Ankara,Etimesgut,8.950.000 TL
140913-251,27-10-2024,Daire,3 + 1,170 m2 / 160 m2,1. Kat,5 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,,,Boş,Kat Mülkiyeti,,Evet,"Kuzey, Güney, Doğu, Batı",,,,,,Ankara,Keçiören,3.650.000 TL
47682-2389,27-10-2024,Daire,4 + 1,200 m2 / 165 m2,3. Kat,8 Yaşında,Kombi,4 Katlı,Uygun,Eşyalı Değil,2,Betonarme,İkinci El,Kiracılı,Kat Mülkiyeti,,Evet,"Güney, Doğu",,Doğalgaz,,,Evet,Ankara,Etimesgut,3.990.000 TL
93775-5,27-10-2024,Daire,3 + 0,130 m2 / 119 m2,Kot 2,5 Yaşında,Kombi,15 Katlı,Uygun,Eşyalı Değil,2,,,,Kat Mülkiyeti,,,,18.000 TL,Doğalgaz,,,Evet,Ankara,Mamak,1.790.000 TL
102746-1206,11-10-2024,Daire,3 + 1,120 m2 / 115 m2,3. Kat,16 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,,,Mülk Sahibi,Kat Mülkiyeti,50 TL,Hayır,"Doğu, Batı",,,,,,Ankara,Pursaklar,2.280.000 TL
117361-968,27-10-2024,Daire,3 + 1,130 m2 / 120 m2,4. Kat,25 Yaşında,Kombi,4 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Boş,Kat Mülkiyeti,,Hayır,"Kuzey, Güney, Batı",,Doğalgaz,5090,5,Evet,Ankara,Çubuk,1.675.000 TL
64542-13094,27-10-2024,Daire,3 + 1,175 m2 / 150 m2,3. Kat,Sıfır Bina,Kombi,12 Katlı,Uygun,Eşyalı Değil,2,Betonarme,Sıfır,Boş,Kat İrtifakı,200 TL,Evet,"Güney, Doğu",30.000 TL,Doğalgaz,,,Evet,Ankara,Yenimahalle,5.090.000 TL
6788-23091,25-10-2024,Daire,3 + 1,130 m2 / 125 m2,1. Kat,30 Yaşında,Merkezi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,İkinci El,Mülk Sahibi,Tapu Yok,1.500 TL,Evet,Doğu,30.000 TL,Doğalgaz,,,Evet,Ankara,Çankaya,4.175.000 TL
63021-8276,28-10-2024,Daire,3 + 1,130 m2 / 120 m2,1. Kat,30 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,Sıfır,Mülk Sahibi,Kat Mülkiyeti,,Hayır,,35.000 TL,Doğalgaz,,,Evet,Ankara,Çankaya,4.350.000 TL
63021-8266,28-10-2024,Daire,3 + 1,90 m2 / 80 m2,Yüksek Giriş,30 Yaşında,Kombi,2 Katlı,Uygun,Eşyalı Değil,1,Betonarme,Sıfır,Boş,Kat Mülkiyeti,,Evet,"Kuzey, Doğu",25.000 TL,Doğalgaz,,,Evet,Ankara,Çankaya,3.490.000 TL
63021-8268,28-10-2024,Daire,3 + 1,125 m2 / 110 m2,1. Kat,30 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,Sıfır,Boş,Kat Mülkiyeti,,Evet,"Güney, Batı",30.000 TL,Doğalgaz,,,Evet,Ankara,Çankaya,4.250.000 TL
16149-3317,17-10-2024,Daire,3 + 1,130 m2 / 125 m2,Ara Kat,30 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,Sıfır,Boş,Kat Mülkiyeti,,Hayır,"Güney, Doğu",17.500 TL,Doğalgaz,,,,Ankara,Keçiören,3.149.000 TL
4480-24550,21-10-2024,Daire,3 + 1,125 m2 / 120 m2,Kot 1,15 Yaşında,Kombi,3 Katlı,Uygun,Eşyalı Değil,2,Betonarme,İkinci El,Mülk Sahibi,Kat Mülkiyeti,,Hayır,,,Doğalgaz,,,,Ankara,Pursaklar,1.849.000 TL
4480-24741,21-10-2024,Daire,2 + 1,105 m2 / 98 m2,2. Kat,Sıfır Bina,Kombi,4 Katlı,Uygun,Eşyalı Değil,1,Betonarme,Sıfır,Boş,Kat Mülkiyeti,,Hayır,,,Doğalgaz,,,,Ankara,Pursaklar,2.620.000 TL
4480-24718,07-10-2024,Daire,2 + 1,110 m2 / 105 m2,1. Kat,Sıfır Bina,Kombi,3 Katlı,Uygun,Eşyalı Değil,1,Betonarme,Sıfır,Boş,Kat Mülkiyeti,,Hayır,,,Doğalgaz,,,,Ankara,Pursaklar,2.650.000 TL
4480-24787,25-10-2024,Daire,3 + 1,135 m2 / 130 m2,4. Kat,Sıfır Bina,Kombi,6 Katlı,Uygun,Eşyalı Değil,2,Betonarme,Sıfır,Boş,Kat Mülkiyeti,,Hayır,,,Doğalgaz,,,,Ankara,Pursaklar,3.400.000 TL
85799-2997,27-10-2024,Villa,2 + 2,673 m2 / 670 m2,,5 Yaşında,Kombi,1 Katlı,Uygun,Eşyalı Değil,2,Betonarme,Sıfır,Boş,Kat Mülkiyeti,,Evet,"Güney, Doğu, Batı",,Doğalgaz,,,Evet,Ankara,Keçiören,6.500.000 TL
147632-33,28-10-2024,Daire,3 + 1,130 m2 / 110 m2,1. Kat,Sıfır Bina,Kombi,4 Katlı,Uygun,Eşyalı Değil,1,Betonarme,Sıfır,Boş,Kat Mülkiyeti,,Hayır,,,Doğalgaz,,,Evet,Ankara,Akyurt,2.080.000 TL
19464-3451,26-10-2024,Daire,3 + 1,160 m2 / 145 m2,1. Kat,12 Yaşında,Kombi,4 Katlı,Uygun,Eşyalı Değil,2,Betonarme,İkinci El,,Yabancıdan,80 TL,Hayır,Güney,30.000 TL,Doğalgaz,,,Evet,Ankara,Çankaya,4.140.000 TL
